Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80
reading,property,festival,tomorrow,bonds,pakistan,automobile,friends,presidential,voyage,chicken,human,chemical,kind,people,assistant,game,mandela,victory,sports,dinkins,policy,report,wife,testimony,bridge,yesterday,abuse,pawn,concerts,federal,meal,gold,built,xi,western,plays,faith,wearing,year,tobacco,field,parties,systems,tourist,make,states,ny,thcentury,mortgage,jewish,las,germans,crime,said,soil,trump,audience,using,charge,mr,market,sea,ruled,airports,degree,price,home,physicians,obama,por,guard,undocumented,go,recording,medicine,universities,members,fire,act
written,site,solo,information,market,rebels,percent,knew,congress,passengers,grams,writer,clean,mind,feminist,college,wimbledon,groups,defenseman,meter,yorkers,agreement,fed,girl,accused,trick,sell,death,wheat,program,news,cooking,jones,floor,government,missile,rated,archbishop,pants,program,york,offense,protest,site,road,way,markets,surname,design,sold,mr,vegas,london,death,coach,acres,measure,productions,heat,stock,ratings,stock,satellites,district,aviation,loving,exploration,third,parents,race,con,quarter,refugee,ive,hiphop,risk,said,agreement,programs,rule
publishing,connecticut,performances,gallery,stock,united,driver,walked,lewinsky,gamblers,pan,opinion,electric,never,many,ncaa,th,history,first,champion,district,meeting,last,school,evidence,pairs,mr,murder,l,concerto,government,fish,nasdaq,east,wang,defense,hollywood,orthodox,shopping,congress,director,patriots,democratic,app,tours,important,nations,mail,images,sale,west,foreman,world,found,salary,conservation,obama,drama,designed,sale,broadcasting,morgan,orbit,states,passenger,husband,arabia,manager,mrs,state,military,shots,children,got,show,said,educational,management,welfare,industry
life,developers,arts,tuesdays,bankers,civilians,market,people,former,cuisine,cups,nation,solar,almost,discrimination,baseball,pga,minorities,second,finished,borough,sanctions,price,lives,sentence,tricks,cash,illegal,k,singers,evidence,kitchen,shares,market,seoul,mr,funny,prayer,jacket,revenue,creative,ball,coalition,use,boat,recent,billion,times,sculptures,tax,plo,ray,international,detective,coaches,weather,capitol,street,wall,months,advertising,debentures,science,constitutional,fares,st,million,second,said,polls,puerto,conference,country,way,records,people,graduate,bargaining,shelters,standards
literature,million,artistic,road,companies,qaeda,honda,home,meese,brooklyn,oven,public,reactor,style,young,soccer,first,discrimination,seconds,marathon,yesterday,reagan,economists,girls,murder,notrump,stake,sentence,agricultural,classical,attorney,eat,higher,bedrooms,li,mikhail,minutes,irish,women,administration,brands,receiver,rights,video,sea,good,international,sunday,curator,tenant,iraq,rounds,greece,investigators,agent,rain,y,actress,will,companys,comedy,corporation,pilot,civil,travelers,president,reserves,pitched,costs,primary,argentina,second,arizona,thing,drummer,tests,board,salary,money,require
reader,neighborhood,troupe,festival,mr,wounded,truck,took,political,indians,bowl,many,dioxide,great,can,nfl,williams,color,shot,winner,county,washington,consumer,people,defendants,d,buy,parole,n,soprano,investigations,shrimp,price,area,singapore,ukrainian,scott,christians,retailers,costs,magazine,players,corruption,system,guests,perhaps,rates,postal,painted,price,prime,muhammad,euro,men,athletes,winter,speaker,festival,size,tax,audience,issue,miles,justices,buses,funeral,spill,team,drug,politics,su,shot,deportation,see,bass,found,districts,companies,agencies,association
poetry,mr,de,children,mortgage,fighters,volkswagen,sat,starr,tribal,juice,freedom,agency,characters,social,association,matches,community,goalie,run,de,official,markets,years,investigation,lead,chairman,addiction,h,carnegie,comment,sweet,ounce,tower,mainland,v,pg,churchs,styles,proposal,senior,defense,governments,sites,islands,will,will,years,photography,home,islamic,boxers,west,street,basketball,bird,chairman,producer,device,latest,season,auction,rocket,amendment,fare,church,gallon,victory,treatment,votes,venezuela,half,southern,now,record,heart,dr,hiring,local,committee
magazine,build,city,east,capital,al,production,later,chief,poker,fresh,policy,protection,language,rights,game,played,indian,minutes,runners,public,obama,recession,sister,sentenced,h,analysts,said,kasparov,chamber,allegations,beef,lower,windows,koreans,strategic,plot,pastor,style,proposed,corporation,offensive,movement,ibm,travelers,think,japan,award,th,rents,east,punches,italian,guns,play,deer,legislative,shows,color,extraordinary,entertainment,priced,spacecraft,settlement,boeing,bride,company,two,family,trumps,salvador,player,visa,feel,playing,cases,learning,factory,aid,changes
library,acres,work,library,federal,commander,nissan,friend,vice,reservation,dish,article,change,young,married,injured,slam,ethnic,played,competition,commissioner,international,rise,boys,prosecution,won,offer,enforcement,chess,mozart,general,fresh,bond,houses,chen,united,mother,ireland,colors,cost,executives,running,said,electronic,mountains,firms,american,card,s,landlords,palestine,mike,spain,killing,soccer,flowers,leader,producers,machines,bafter,producer,poors,mars,judicial,station,received,mobil,dodgers,clinic,voting,es,lakers,migrant,time,singers,vaccine,grade,employer,families,system
publishers,plan,choreographed,exhibition,rates,border,automakers,door,counsel,radio,lemon,right,global,modern,behavior,oneyear,federer,movement,flyers,finish,officials,war,data,young,justice,north,market,justice,editorials,orchestras,reports,pm,currency,west,islands,soviets,actor,st,jackets,aid,campaign,linebacker,parliamentary,services,along,problem,policy,died,painter,landlord,saudi,knockout,germanys,two,commissioner,forests,votes,playwright,walls,stores,channels,sixmonth,captain,appeal,said,retired,billion,pitchers,medicine,elections,brazilian,first,yes,say,artists,science,professor,negotiations,county,safety
